name,address,reviews_count,reviews_average,category
Pau Thai Seafood,"8a Dayang walk Kuah, 07000 Langkawi, Kedah",16,4.9,Thai restaurant
LOCAL FOOD STEAMBOAT GRILL,"333, 112, Langkawi Parade, 333, Jalan Padang Matsirat, Kuah, 07000 Langkawi, Kedah",16,4.9,Buffet restaurant
D Saji Restoran,"7a, Jalan Penarak, Kuah, 07000 Langkawi, Kedah",16,4.9,Family restaurant
JMT Langkawi Seafood Restaurant,"Jalan Pandak Mayah 3, Taman Bendang Baru, 07000 Langkawi, Kedah",16,4.9,Restaurant
Krua Thai Restaurant,"Jalan Kelibang, Kuah, Langkawi, 07000 Kuah, Kedah",16,4.9,Thai restaurant
